Posting Date,Transaction Date,Amount,Credit Debit Indicator,type,Type Group,Reference,Instructed Currency,Currency Exchange Rate,Instructed Amount,Description,Category,Check Serial Number,Card Ending,Rewards Total,Rewards Type
02/25/2026,02/25/2026,9.72,Debit,POS,POS,,,,,POS DEBIT-DC    7325 AMAZON RETA* VD05Z WWW.AMAZON.CO WA,,,,,
02/24/2026,02/24/2026,250,Debit,ACH Debit,ACH Debit,,,,,- Zwicker & Associ Phone Chk XX7445,Online Services,21127445,,,
02/24/2026,02/22/2026,70.7,Debit,POS,POS,,,,,Randalls,Groceries,,,,
02/24/2026,02/23/2026,32.6,Debit,POS,POS,,,,,ExxonMobil,Gasoline/Fuel,,,,
02/23/2026,02/23/2026,25.97,Debit,ACH Debit,ACH Debit,,,,,Transfer to PayPal,Transfers,9100001,,,
02/23/2026,02/23/2026,10,Debit,ACH Debit,ACH Debit,,,,,Transfer to Charles Schwab,Savings,1100123,,,
02/23/2026,02/23/2026,130,Debit,Transfer,Transfer,,,,,Transfer To Checking -1807,Transfers,,,,
02/23/2026,02/23/2026,100,Debit,Transfer,Transfer,,,,,Transfer To Checking -6259,Transfers,,,,
02/23/2026,02/21/2026,50,Debit,POS,POS,,,,,Transfer to Cash App,Transfers,,,,
02/23/2026,02/21/2026,25.94,Debit,POS,POS,,,,,Amazon Marketplace,General Merchandise,,,,
02/20/2026,02/20/2026,475,Debit,Transfer,Transfer,,,,,Transfer To Credit Card -1806,Transfers,,,,
02/20/2026,02/20/2026,345,Debit,Transfer,Transfer,,,,,Transfer To Credit Card -0711,Transfers,,,,
02/19/2026,02/19/2026,175,Debit,ACH Debit,ACH Debit,,,,,Transfer to PayPal,Transfers,9100001,,,
02/19/2026,02/18/2026,6.39,Debit,POS,POS,,,,,Amazon FreeTime,Entertainment,,,,
02/19/2026,02/19/2026,1866.07,Credit,ACH Credit,ACH Credit,,,,,Salary/Regular Income from State Check,Paychecks/Salary,2100002,,,
02/17/2026,02/17/2026,64.18,Debit,ACH Debit,ACH Debit,,,,,Transfer to PayPal,Transfers,9100001,,,
02/17/2026,02/17/2026,25,Debit,Transfer,Transfer,,,,,Transfer To Credit Card -7032,Transfers,,,,
02/17/2026,02/14/2026,11.88,Debit,POS,POS,,,,,Amazon Marketplace,General Merchandise,,,,
02/17/2026,02/17/2026,100,Credit,Deposit,Deposit,,,,,ATM Deposit,Deposits,,,,
02/13/2026,02/12/2026,4.32,Debit,POS,POS,,,,,Amazon Prime Video,Entertainment,,,,
02/09/2026,02/09/2026,15,Debit,ACH Debit,ACH Debit,,,,,Transfer to PayPal,Transfers,2100002,,,
02/09/2026,02/08/2026,80,Debit,POS,POS,,,,,Transfer to Cash App,Transfers,,,,
02/09/2026,02/06/2026,1.25,Debit,POS,POS,,,,,Washington Metropolitan Area Transit Authority,Travel,,,,
02/05/2026,02/05/2026,1657.6,Debit,Transfer,Transfer,,,,,Transfer To Mortgage,Mortgages,,,,
02/04/2026,02/03/2026,21.74,Debit,POS,POS,,,,,Mikkis,Restaurants/Dining,,,,
02/04/2026,02/03/2026,5.98,Debit,POS,POS,,,,,Kroger,Groceries,,,,
02/04/2026,02/04/2026,1768.17,Credit,ACH Credit,ACH Credit,,,,,Salary/Regular Income from State Check,Paychecks/Salary,2100002,,,
02/03/2026,02/03/2026,150,Debit,POS,POS,,,,,DEBIT-DC 7325 HMSPG IMAGING HOUSTON TX US,Personal Care,,,,
02/02/2026,02/01/2026,108.02,Debit,POS,POS,,,,,H-E-B,Groceries,,,,
02/02/2026,01/31/2026,90,Debit,POS,POS,,,,,DEBIT-DC 7325 CITY OF Local O XX8900 TX,Utilities,,,,
02/02/2026,02/01/2026,57.51,Debit,POS,POS,,,,,Sam's Club,General Merchandise,,,,
02/02/2026,02/01/2026,26.52,Debit,POS,POS,,,,,Sam's Club,General Merchandise,,,,
02/02/2026,01/31/2026,14.51,Debit,POS,POS,,,,,Starbucks,Restaurants/Dining,,,,
02/02/2026,01/30/2026,4.5,Debit,POS,POS,,,,,DEBIT-DC 7325 Local BUSINESS Local TX,Gasoline/Fuel,,,,
01/30/2026,01/30/2026,0.04,Credit,Credit,Credit,,,,,Dividend,Investment Income,,,,
01/30/2026,01/30/2026,0.01,Debit,Debit,Debit,,,,,Federal Tax Witholding,Taxes,,,,
01/29/2026,01/29/2026,452.95,Debit,ACH Debit,ACH Debit,,,,,Atg Pay,Home Maintenance,9100001,,,
01/29/2026,01/28/2026,68.16,Debit,POS,POS,,,,,Kroger,Groceries,,,,
01/29/2026,01/28/2026,18.73,Debit,POS,POS,,,,,Kroger Fuel Center,Gasoline/Fuel,,,,
01/28/2026,01/28/2026,10,Debit,Transfer,Transfer,,,,,Transfer To Checking -1807,Transfers,,,,
01/28/2026,01/27/2026,22.5,Debit,POS,POS,,,,,Sprouts Farmers Market,Groceries,,,,
01/27/2026,01/26/2026,34.03,Debit,POS,POS,,,,,Kroger,Groceries,,,,
01/27/2026,01/26/2026,30,Debit,POS,POS,,,,,H&M,Clothing/Shoes,,,,
01/26/2026,01/22/2026,128.35,Debit,POS,POS,,,,,Randalls,Groceries,,,,
01/26/2026,01/23/2026,20.79,Debit,POS,POS,,,,,Shell,Gasoline/Fuel,,,,
01/26/2026,01/23/2026,14.57,Debit,POS,POS,,,,,Shell,Gasoline/Fuel,,,,
01/23/2026,01/21/2026,25.95,Debit,POS,POS,,,,,Domino's Pizza,Restaurants/Dining,,,,
01/23/2026,01/22/2026,24.07,Debit,POS,POS,,,,,ExxonMobil,Gasoline/Fuel,,,,
01/22/2026,01/22/2026,250,Debit,ACH Debit,ACH Debit,,,,,- Zwicker & Associ Phone Chk XX7445,Online Services,21127445,,,
01/22/2026,01/22/2026,10,Debit,ACH Debit,ACH Debit,,,,,Transfer to Charles Schwab,Savings,1100123,,,
01/22/2026,01/22/2026,20,Debit,Transfer,Transfer,,,,,Transfer To Checking -1807,Transfers,,,,
01/22/2026,01/22/2026,21.5,Debit,POS,POS,,,,,Kroger,Groceries,,,,
01/21/2026,01/21/2026,10,Debit,ACH Debit,ACH Debit,,,,,Transfer to Charles Schwab,Savings,1100123,,,
01/21/2026,01/20/2026,55.13,Debit,POS,POS,,,,,Walmart,General Merchandise,,,,
01/20/2026,01/20/2026,175,Debit,ACH Debit,ACH Debit,,,,,Transfer to PayPal,Transfers,9100001,,,
01/20/2026,01/19/2026,74.09,Debit,POS,POS,,,,,Walmart,General Merchandise,,,,
01/20/2026,01/17/2026,52.12,Debit,POS,POS,,,,,Sprouts Farmers Market,Groceries,,,,
01/20/2026,01/16/2026,6.62,Debit,POS,POS,,,,,Randalls,Groceries,,,,
01/16/2026,01/16/2026,1866.07,Credit,ACH Credit,ACH Credit,,,,,Salary/Regular Income from State Check,Paychecks/Salary,2100002,,,
01/07/2026,01/07/2026,21,Credit,Transfer,Transfer,,,,,Transfer From Savings -5131,Transfers,,,,
01/07/2026,01/07/2026,7,Credit,Transfer,Transfer,,,,,Transfer From Checking -6259,Transfers,,,,
01/05/2026,01/05/2026,1657.6,Debit,Transfer,Transfer,,,,,Transfer To Mortgage,Mortgages,,,,
01/05/2026,01/02/2026,25,Debit,POS,POS,,,,,DEBIT-DC 7325 CASH APP*VINCENT A OAKLAND CA,Transfers,,,,
01/05/2026,01/02/2026,6,Debit,POS,POS,,,,,Transfer to Cash App,Transfers,,,,
01/02/2026,01/02/2026,20,Credit,Transfer,Transfer,,,,,Transfer From Savings -5131,Transfers,,,,
01/02/2026,01/02/2026,1768.17,Credit,ACH Credit,ACH Credit,,,,,Salary/Regular Income from State Check,Paychecks/Salary,2100002,,,
